Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ADA	adn[c] + h2o[c] + h[c]  -> ins[c] + nh4[c] 	(b1623)	  0.00	1000.00	  0.00
ADCL	4adcho[c]  -> 4abz[c] + h[c] + pyr[c] 	(b1096)	  0.00	1000.00	  0.00
ADCS	chor[c] + gln_DASH_L[c]  -> 4adcho[c] + glu_DASH_L[c] 	((b3360) and (b1812))	  0.00	1000.00	  0.00
ADD	ade[c] + h2o[c] + h[c]  -> hxan[c] + nh4[c] 	(b3665)	  0.00	1000.00	  0.00
ADEt2r	ade[e] + h[e]  <=> ade[c] + h[c] 	(b3654)	-1000.00	1000.00	  0.00
ADHEr	accoa[c] + 2 h[c] + 2 nadh[c]  <=> coa[c] + etoh[c] + 2 nad[c] 	(b1241)	-1000.00	1000.00	  0.00
ADK1	amp[c] + atp[c]  <=> 2 adp[c] 	(b0474)	-1000.00	1000.00	  0.00
ADK3	amp[c] + gtp[c]  <=> adp[c] + gdp[c] 	(b0474)	-1000.00	1000.00	  0.00
ADK4	amp[c] + itp[c]  <=> adp[c] + idp[c] 	(b0474)	-1000.00	1000.00	  0.00
ADMDCr	amet[c] + h[c]  <=> ametam[c] + co2[c] 	(b0120)	-1000.00	1000.00	  0.00
ADNCYC	atp[c]  -> camp[c] + ppi[c] 	(b3806)	  0.00	1000.00	  0.00
ADNK1	adn[c] + atp[c]  -> adp[c] + amp[c] + h[c] 	(b0474)	  0.00	1000.00	  0.00
ADNt2	adn[e] + h[e]  -> adn[c] + h[c] 	((b2964) or (b2393))	  0.00	1000.00	  0.00
ADNt2r	adn[e] + h[e]  <=> adn[c] + h[c] 	(b2406)	-1000.00	1000.00	  0.00
ADOCBIK	adocbi[c] + atp[c]  -> adocbip[c] + adp[c] + h[c] 	(b1993)	  0.00	1000.00	  0.00
ADOCBLS	agdpcbi[c] + rdmbzi[c]  -> adocbl[c] + gmp[c] + h[c] 	(b1992)	  0.00	1000.00	  0.00
ADPT	ade[c] + prpp[c]  -> amp[c] + ppi[c] 	(b0469)	  0.00	1000.00	  0.00
ADSK	aps[c] + atp[c]  -> adp[c] + h[c] + paps[c] 	(b2750)	  0.00	1000.00	  0.00
ADSL1r	dcamp[c]  <=> amp[c] + fum[c] 	(b1131)	-1000.00	1000.00	  0.00
ADSL2r	25aics[c]  <=> aicar[c] + fum[c] 	(b1131)	-1000.00	1000.00	  0.00
